step,survival_reward,days_survived,net_worth,units_sold,went_bankrupt,compute_spent,num_turns
0,891.459,10.875,695.419,538.688,0.0,19.5,40.0
1,865.603,10.688,662.456,505.438,0.0,19.5,40.0
2,967.027,12.062,727.803,575.812,0.0,19.5,40.0
3,1055.848,13.188,792.947,641.25,0.0,19.5,40.0
4,1032.737,13.688,696.725,551.938,0.0,19.5,40.0
5,1070.72,14.062,735.191,591.125,0.0,19.5,40.0
6,1064.905,13.188,811.059,659.562,0.0,19.5,40.0
7,1142.883,13.875,898.266,749.625,0.0,19.5,40.0
